#msc E E^2 |M| M^2 accepted
1 -8 64 4 16 0
2 -8 64 4 16 0
3 -8 64 4 16 0
4 -8 64 4 16 0
5 -8 64 4 16 0
6 -8 64 4 16 0
7 -8 64 4 16 0
8 -8 64 4 16 0
9 -8 64 4 16 0
10 -8 64 4 16 0
11 -8 64 4 16 0
12 -8 64 4 16 0
13 -8 64 4 16 0
14 -8 64 4 16 0
15 -8 64 4 16 0
16 -8 64 4 16 0
17 -8 64 4 16 0
18 -8 64 4 16 0
19 -8 64 4 16 0
20 -8 64 4 16 0
21 -8 64 4 16 0
22 -8 64 4 16 0
23 -8 64 4 16 0
24 -8 64 4 16 0
25 -8 64 4 16 0
26 -8 64 4 16 0
27 -8 64 4 16 0
28 -8 64 4 16 0
29 -8 64 4 16 0
30 -8 64 4 16 0
31 -8 64 4 16 0
32 -8 64 4 16 0
33 -8 64 4 16 0
34 -8 64 4 16 0
35 -8 64 4 16 0
36 -8 64 4 16 0
37 -8 64 4 16 0
38 -8 64 4 16 0
39 -8 64 4 16 0
40 -8 64 4 16 0
41 -8 64 4 16 0
42 -8 64 4 16 0
43 -8 64 4 16 0
44 -8 64 4 16 0
45 -8 64 4 16 0
46 -8 64 4 16 0
47 -8 64 4 16 0
48 -8 64 4 16 0
49 -8 64 4 16 0
50 -8 64 4 16 0
51 -8 64 4 16 0
52 -8 64 4 16 0
53 -8 64 4 16 0
54 -8 64 4 16 0
55 -8 64 4 16 0
56 -8 64 4 16 0
57 -8 64 4 16 0
58 -8 64 4 16 0
59 -8 64 4 16 0
60 -8 64 4 16 0
61 -8 64 4 16 0
62 -8 64 4 16 0
63 -8 64 4 16 0
64 -8 64 4 16 0
65 -8 64 4 16 0
66 -8 64 4 16 0
67 -8 64 4 16 0
68 -8 64 4 16 0
69 -8 64 4 16 0
70 -8 64 4 16 0
71 -8 64 4 16 0
72 -8 64 4 16 0
73 -8 64 4 16 0
74 -8 64 4 16 0
75 -8 64 4 16 0
76 -8 64 4 16 0
77 -8 64 4 16 0
78 -8 64 4 16 0
79 -8 64 4 16 0
80 -8 64 4 16 0
81 -8 64 4 16 0
82 -8 64 4 16 0
83 -8 64 4 16 0
84 -8 64 4 16 0
85 -8 64 4 16 0
86 -8 64 4 16 0
87 -8 64 4 16 0
88 -8 64 4 16 0
89 -8 64 4 16 0
90 -8 64 4 16 0
91 -8 64 4 16 0
92 -8 64 4 16 0
93 -8 64 4 16 0
94 -8 64 4 16 0
95 -8 64 4 16 0
96 -8 64 4 16 0
97 -8 64 4 16 0
98 -8 64 4 16 0
99 -8 64 4 16 0
